province,year,crop_name,area,production,yield,q_cv_group,q_area_coverage,q_n_regions_used,q_n_expected_regions,q_n_missing_regions,q_n_structural_zero_regions,q_source_status,q_apy_incoherent,q_calculated_region
Ancona,2014,Durum wheat,50400.0,192528.0,3.82,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2014,Grain maize,2350.0,19500.0,8.297872340425531,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2014,Soft wheat,1310.0,4195.0,3.2022900763358777,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2015,Durum wheat,49700.0,238860.0,4.806036217303823,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2015,Grain maize,2460.0,19800.0,8.048780487804878,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2015,Soft wheat,240.0,935.0,3.8958333333333335,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2016,Durum wheat,49850.0,241020.0,4.834904714142427,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2016,Grain maize,2450.0,19650.0,8.020408163265307,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2016,Soft wheat,220.0,902.0,4.1,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2017,Durum wheat,49228.0,210005.0,4.2659665231169255,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2017,Grain maize,2317.0,17750.0,7.660768234786362,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2017,Soft wheat,210.0,845.0,4.023809523809524,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2018,Durum wheat,49300.0,211759.3,4.295320486815416,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2018,Grain maize,2416.0,18375.9,7.605918874172186,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2018,Soft wheat,220.0,881.2,4.005454545454546,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2019,Durum wheat,44927.0,196794.1,4.380308055289692,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2019,Grain maize,2355.0,19646.8,8.342590233545648,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2019,Soft wheat,218.0,880.0,4.036697247706422,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2020,Durum wheat,44927.0,196794.1,4.380308055289692,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2020,Grain maize,2355.0,19646.8,8.342590233545648,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2020,Soft wheat,218.0,880.0,4.036697247706422,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2021,Durum wheat,44927.0,196794.1,4.380308055289692,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2021,Grain maize,2355.0,19646.8,8.342590233545648,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2021,Soft wheat,218.0,880.0,4.036697247706422,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2022,Durum wheat,30034.0,135153.8,4.500026636478657,Ancona,1.0,1,1,0,0,complete,False,False
